point,CoverType,areakm2,aream2
26,developed,0.020139814,20139.81421
26,woodland,0.00105627,1056.270152
26,grassland,0.010123274,10123.27433
26,grassland,0.039091223,39091.22329
31,developed,0.003167055,3167.054636
31,grassland,0.030833303,30833.30271
31,grassland,0.036522794,36522.79424
21,developed,0.002935786,2935.785941
21,grassland,0.036822089,36822.08904
21,grassland,0.002762276,2762.275954
21,grassland,0.00195721,1957.209993
21,vineyard,0.01602518,16025.18035
3,developed,0.010393246,10393.24576
3,vineyard,0.01107786,11077.8597
3,grassland,0.017712554,17712.55418
3,grassland,0.03133875,31338.75028
4,developed,0.002462171,2462.171281
4,vineyard,0.013062211,13062.21136
4,orchard,0.013707468,13707.46767
4,shrubland,0.00357213,3572.129735
4,shrubland,0.003378519,3378.519336
4,orchard,0.001953303,1953.30323
4,grassland,0.03237826,32378.25999
13,vineyard,0.006448026,6448.026115
13,developed,0.01237415,12374.14978
13,grassland,0.005712437,5712.437368
13,developed,0.00170996,1709.960366
13,grassland,0.013289269,13289.26928
13,vineyard,0.00295956,2959.55987
13,vineyard,0.011830377,11830.37665
13,row crop,0.013964566,13964.56571
1,developed,0.008445407,8445.407241
1,vineyard,0.006418447,6418.447025
1,vineyard,0.023211469,23211.46885
1,vineyard,0.000314096,314.0957279
1,row crop,0.032135258,32135.25808
2,orchard,0.028586888,28586.88781
2,vineyard,0.019215034,19215.0344
2,vineyard,0.006190497,6190.497332
2,developed,0.016551291,16551.29088
12,developed,0.002845105,2845.104688
12,orchard,0.028077303,28077.30311
12,grassland,0.002741098,2741.09762
12,developed,0.01386259,13862.58967
12,row crop,0.007368519,7368.519204
12,grassland,0.001647295,1647.295035
12,vineyard,0.013987142,13987.14187
17,row crop,0.001759147,1759.147349
17,developed,0.002042845,2042.844821
17,grassland,0.027979255,27979.255
17,vineyard,0.014293202,14293.20208
17,vineyard,0.014476274,14476.27412
17,grassland,0.002809239,2809.239281
17,shrubland,0.00255426,2554.260443
17,developed,0.004616784,4616.784
16,grassland,0.035296018,35296.01822
16,developed,0.004318069,4318.068665
16,grassland,0.00552264,5522.639977
16,vineyard,0.02537399,25373.99029
10,vineyard,0.037999243,37999.24349
10,row crop,0.017901107,17901.10708
10,grassland,0.007805883,7805.882689
10,developed,0.00681591,6815.909929
9,row crop,0.021966327,21966.32704
9,vineyard,0.017243858,17243.85775
9,grassland,0.003901743,3901.743449
9,developed,0.011187751,11187.75131
9,shrubland,0.011090954,11090.95404
9,developed,0.003431244,3431.243866
9,developed,0.0017427,1742.700434
15,shrubland,0.007826564,7826.56383
15,water,0.009312835,9312.835198
15,vineyard,0.019544219,19544.21926
15,grassland,0.023279991,23279.99071
15,developed,0.008373475,8373.475249
20,grassland,0.032129293,32129.29324
20,vineyard,0.009825987,9825.987247
20,orchard,0.009681231,9681.231474
20,grassland,0.003601577,3601.576943
20,developed,0.004158579,4158.579085
24,grassland,0.016184011,16184.01148
24,vineyard,0.015703102,15703.10165
24,vineyard,0.001453847,1453.84706
24,vineyard,0.028845462,28845.46175
24,developed,0.003429392,3429.391711
24,developed,0.004918278,4918.277702
14,vineyard,0.021005456,21005.45628
14,vineyard,0.004695455,4695.455007
14,orchard,0.011104174,11104.17391
14,orchard,0.018973362,18973.36156
14,grassland,0.003943229,3943.228581
14,developed,0.010816428,10816.42769
8,vineyard,0.017251861,17251.86093
8,vineyard,0.008889644,8889.643971
8,vineyard,0.005826436,5826.436148
8,grassland,0.017877818,17877.81824
8,developed,0.020675991,20675.9905
19,row crop,0.028607567,28607.56734
19,vineyard,0.016620488,16620.48836
19,developed,0.002662958,2662.958497
19,grassland,0.011421316,11421.31619
19,shrubland,0.003988937,3988.936682
19,developed,0.007141357,7141.357026
11,vineyard,0.009386337,9386.337263
11,vineyard,0.009172922,9172.92234
11,vineyard,0.015938245,15938.24512
11,vineyard,0.002289352,2289.352042
11,vineyard,0.019671578,19671.57796
11,grassland,0.003535212,3535.212004
11,grassland,0.003515197,3515.197163
11,developed,0.007129327,7129.327432
25,vineyard,0.003287234,3287.234265
25,vineyard,0.007708493,7708.492869
25,grassland,0.007762236,7762.236163
25,grassland,0.011913054,11913.05438
25,shrubland,0.001350113,1350.113199
25,grassland,0.013996929,13996.92923
25,vineyard,0.019476898,19476.89758
25,developed,0.005032391,5032.390932
23,vineyard,0.025840638,25840.63826
23,grassland,0.010248674,10248.67394
23,developed,0.003707107,3707.107064
23,grassland,0.022361936,22361.93642
23,developed,0.008403519,8403.518817
7,developed,0.002347595,2347.594909
7,vineyard,0.023386947,23386.94671
7,water,0.001257547,1257.54743
7,woodland,0.003547169,3547.169318
7,grassland,0.012513588,12513.58777
7,grassland,0.005231207,5231.206665
7,developed,0.008499516,8499.516218
7,grassland,0.005187399,5187.399025
18,vineyard,0.029256109,29256.10898
18,grassland,0.015836978,15836.97794
18,grassland,0.004284592,4284.591543
18,grassland,0.002439266,2439.266438
18,developed,0.018710407,18710.40694
6,grassland,0.032492045,32492.04451
6,vineyard,0.00782128,7821.28004
6,vineyard,0.012223642,12223.6416
6,developed,0.004124363,4124.362623
6,grassland,0.013788409,13788.40909
30,woodland,0.011376075,11376.07523
30,shrubland,0.030605554,30605.55392
30,grassland,0.002377341,2377.341438
30,grassland,0.003228188,3228.188436
30,grassland,0.018904333,18904.33274
30,developed,0.004037758,4037.757613
29,woodland,0.02989735,29897.34969
29,woodland,0.003585181,3585.181337
29,woodland,0.003377811,3377.811163
29,grassland,0.017265874,17265.87433
29,grassland,0.006015277,6015.27724
29,grassland,0.004983351,4983.351433
29,developed,0.005392347,5392.34662
27,shrubland,0.003934585,3934.584557
27,grassland,0.02798679,27986.78952
27,woodland,0.013613001,13613.00116
27,shrubland,0.005568877,5568.876637
27,grassland,0.01492133,14921.33042
27,developed,0.004511363,4511.362857
22,woodland,0.019786131,19786.13142
22,row crop,0.007690694,7690.693724
22,shrubland,0.008620423,8620.422807
22,row crop,0.00874295,8742.949543
22,developed,0.005008274,5008.273521
22,vineyard,0.016759362,16759.3616
22,developed,0.003908158,3908.158318
5,row crop,0.019865231,19865.23123
5,row crop,0.004902069,4902.068954
5,vineyard,0.006006794,6006.793826
5,vineyard,0.005389516,5389.516109
5,woodland,0.018041292,18041.29222
5,woodland,0.004031678,4031.677652
5,developed,0.003213614,3213.613577
5,developed,0.009075403,9075.403115
28,woodland,0.055741388,55741.38773
28,developed,0.011719561,11719.56112
28,orchard,0.003066395,3066.395458
13,shrubland,0.002297484,2297.484444
15,grassland,0.002181502,2181.501927
7,woodland,0.004019131,4019.131126
7,grassland,0.004531439,4531.438998
21,woodland,0.004425075,4425.075405
21,grassland,0.005566587,5566.58713
20,grassland,0.003053056,3053.05645
20,vineyard,0.008077794,8077.793968